HOSPITAL OR CLNIC NAME ,PROVIDER TYPE,EMIRATE,ADDRESS,TELEPHONE,GOLD NETWORK,SILVER PREMIUM NETWORK,SILVER CLASSIC NETWORK,GREEN NETWORK,EMERALD NETWORK,PEARL NETWORK,DENTAL COVER,SPECIAL REMARKS
MARINA PHARMACY CARE TWO BR OF MARINA PHARMACY LLC (MARINA GROUP),PHARMACY,DUBAI,"Iranian Hospital New Bldg., Satwa,",04-3466889,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
UNICARE STAR PHARMACY,PHARMACY,DUBAI,"MALNKHOOL ROAD, AL JAFFLIYA",04-3868811,Covered,Covered,Covered,Covered,Not Covered,Not Covered,Not Covered,
KHALIFA OBAID PHARMACY - DUBAI,PHARMACY,DUBAI,"MOHAMMED BUTTI BUILDING, SATWA, DUBAI, UAE.",04-3327542,Covered,Covered,Covered,Covered,Not Covered,Not Covered,Not Covered,
"NEW AL SUWAIDI PHARMACY L.L.C - SATWA, DUBAI",PHARMACY,DUBAI,"NAEMA ALI BUAMIM BUILDING, NEAR AL SATWA ROUNDABOUT,AL HUDAIBA STREET, SATWA, DUBAI",04-3859219,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
NOBELS PHARMACY,PHARMACY,DUBAI,SATWA,04-3442114,Covered,Covered,Covered,Covered,Not Covered,Not Covered,Not Covered,
NOOR AL SATWA PHARMACY,PHARMACY,DUBAI,"SATWA, NEAR BUSTATION",04-3443229,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
"GHAZAL JUMEIRAH PHARMACY, SATWA-RELIEF HEALTHCARE GROUP",PHARMACY,DUBAI,"SHOP#4 , GROUND FLOOR , BEL OBAIDA BUILDING NEAR GRAND SATWA MOSQUE DUBAI",04-3494882,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
"DULSCO PHARMACY LLC, SMBZR (DULSCO GROUP)",PHARMACY,DUBAI,"SHAIKH MOHAMMED BIN ZAYED ROAD, LABOUR VILLAGE 1, DUBAI, UAE.",04-3232442,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
RAFEAH PHARMACY - MEDON GROUP,PHARMACY,SHARJAH,"SHOP NO.4, GEORGE BUILDING, UNIVERSITY ROAD,SHARJAH",06-5454455,Covered,Covered,Covered,Covered,Covered,Not Covered,Not Covered,
LIFE TWO PHARMACY L.L.C-LIFE HEALTHCARE GROUP,PHARMACY,DUBAI,"AL KAWAKEB BLDG A, 1ST INTERCHANGE,SHEIKH ZAYED ROAD, DUBAI",04-3550057,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
MEDCARE WOMEN AND CHILDRENS HOSPITAL PHARMACY-BR OF MEDCARE GROUP-DUBAI,PHARMACY,DUBAI,"AL SAFA 2, SHEIKH ZAYED ROAD, NEAR NOOR ISLAMIC BANK",04-4079166,Covered,Covered,Covered,Covered,Not Covered,Not Covered,Not Covered,
EUROHEALTH PHARMACY,PHARMACY,DUBAI,"BLUE TOWER, SHEIKH ZAYED ROAD",04-3342333,Covered,Covered,Covered,Covered,Not Covered,Not Covered,Not Covered,
HEALTH FIRST PHARMACY 24-PLANET PHARMACY,PHARMACY,DUBAI,"BURJ KHALIFA DOWTOWN, ",04-4329158,Covered,Covered,Covered,Covered,Covered,Not Covered,Not Covered,
MEDICINA PHARMACY 5,PHARMACY,DUBAI,GRAND MIDWEST HOTEL APARTMENT,04-3237202,Covered,Covered,Covered,Covered,Covered,Not Covered,Not Covered,
LIFE PHARMACY 44 BR OF LIFE PHARMACY LLC - LIFE HEALTHCARE GROUP,PHARMACY,DUBAI,"Ground floor - Unit No. 1009, Oasis Center, Dubai, UAE.",04-5610000,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
BINSINA 44,PHARMACY,DUBAI,"JUMEIRA TOWER, TRADE CENTRE",04-3513249,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
SUPER CARE PHARMACY SHIEKH ZAYED ROAD-SUPER CARE GRP,PHARMACY,DUBAI,"OASIS TOWER, SHEIKH ZAYED ROAD",04-3798802,Covered,Covered,Covered,Covered,Not Covered,Not Covered,Not Covered,
AVENUE PHARMACY,PHARMACY,DUBAI,"SHAIKH ZAYED ROAD, BUISNESS BAY",04-4357450,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
AL WASEL COMMUNITY PHARMACY ,PHARMACY,DUBAI,"SHEIKH ZAYED ROAD, BEHIND SHANGRI-LA , UNION COOERATIVE SOCIETY HYPERMARKET",04-3212062,Covered,Covered,Covered,Covered,Not Covered,Not Covered,Not Covered,
SUPER CARE PHARMACY,PHARMACY,DUBAI,"SHEIKH ZAYED ROAD, IBN BATTUTA MALL, PERSIAN COURT",04-3669800,Covered,Covered,Covered,Covered,Not Covered,Not Covered,Not Covered,
MEDICOM 6,PHARMACY,DUBAI,"SHEIKH ZAYED STREET, MAZAYA CENTRE",04-3435522,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
MODERN MEDI PRIME PHARMACY,PHARMACY,DUBAI,"SHIEK ZAYED ROAD, IBRI HOUSE, ADJACENT TO NISSAN SHOWROOM",04-3387387,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,Psychiatric Benefits Not Covered
NOOR AL IMAN PHARMACY,PHARMACY,DUBAI,"SHIEK ZAYED ROAD, SHIEKH ESSA TOWER BEFORE SHANGRILA HOTEL",04-3861263,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
ZAYED PHARMACY,PHARMACY,DUBAI,SHK ZAYED ROAD,04-3291325,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
BIN SINA PHARMACY-EMIRATES MALL,PHARMACY,DUBAI,"SHK ZAYED ROAD , EMIRATES MALL",04-3410345,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
BINSINA PHARMACY-BR 32,PHARMACY,DUBAI,"SHK ZAYED ROAD , IBN BATTUTA MALL",04-4233895,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
DOHA PHARMACY,PHARMACY,DUBAI,"SHK.ZAYED ROAD, AL ATTAR TOWER ",04-3430603,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
GOLDEN LIFE PHARMACY,PHARMACY,DUBAI,"SHK.ZAYED ROAD, MUROOJ COMPLEX ",04-3430077,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
REAL 6 PHARMACY L.L.C-LIFE HEALTHCARE GROUP,PHARMACY,DUBAI,"SHOP # 1, AL SALAAM TOWER, SHEIK ZAYED ROAD,CHELSEA DUBAI U.A.E.",04-3529988,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
ASTER PHARMACY 201 BR OF ASTER PHARMACIES GROUP LLC-DUBAI,PHARMACY,DUBAI,"SHOP # 3, NEXT TO CROWN PLAZA HOTEL, AL MANAL TOWER, SHEIKH ZAYED ROAD",04-3209481,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
CITY LIFE PHARMACY L.L.C-LIFE HEALTHCARE GROUP,PHARMACY,DUBAI,"SHOP #2, CITY TOWER 1, NEAR TO CROWN PLAZA,SHEIKH ZAYED ROAD, DUBAI",04-3410072,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
LIFE PHARMACY 12 BR OF LIFE PHARMACY LLC,PHARMACY,DUBAI,"Shop 1, The Tower, Financial Centre, Sheikh Zayed Road, Dubai , UAE",04-5610000,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
BIN SINA 54 PHARMACY,PHARMACY,DUBAI,"SHOP NO. 52, EMIRATES TOWERS, TRADE CENTER SECOND",04-3523073,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
DUBAI LIFE PHARMACY ,PHARMACY,DUBAI,"TRADE CENTER ROAD, TADER CENTER , HALL NO.5",04-3291162,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
LIFE PHARMACY 8 BR OF LIFE PHARMACY LLC ,PHARMACY,DUBAI,"UNIT NO F11H FIRST FLOOR , MALL OF EMIRATES , DUBAI,  UAE",04-5610000,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
HEALTH FIRST PHARMACY 52-DUBAI-PLANET GROUP,PHARMACY,DUBAI,"WHITE CROWN TOWER, GROUND FLOOR 34, SHEIKH ZAYED ROAD, NEAR KFC, DUBAI",04-7016002,Covered,Covered,Covered,Covered,Covered,Not Covered,Not Covered,
NEW DOHA PHARMACY-LIFE HEALTHCARE GROUP,PHARMACY,DUBAI,"WHITE SWAN BUILDING, SHIEKH ZAYED ROAD",04-3328385,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
ASTER PHARMACY 6 BR OF ASTER PHARMACIES GROUP LLC,PHARMACY,DUBAI,"DUBAI SILICON GATE 1 - BUILDING, FIRST FLOOR, F-S-101A, GATE 1",04-3262600,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
DESERT OASIS PHARMACY,PHARMACY,DUBAI,"EMIRATES ROAD, ENOC STATION,NEAR SILICON OASIS",04-3265190,Covered,Covered,Covered,Covered,Not Covered,Not Covered,Not Covered,
IBN SINA 75 PHARMACY SILICON OASIS (BIN SINA GROUP),PHARMACY,DUBAI,"Le Presidium Tower 1, Al Ain - Dubai Rd, Dubai Silicon Oasis, Nad Al Sheba",04-2672448,Covered,Covered,Covered,Covered,Not Covered,Not Covered,Not Covered,
AXON MEDICA PHARMACY  LLC- DUBAI,PHARMACY,DUBAI,"Lynx building street, Lynx building, Silicon Oasis Dubai",04-3484992,Covered,Covered,Covered,Covered,Covered,Not Covered,Not Covered,
LIFE SILICON PHARMACY - LIFE HEALTHCARE GROUP,PHARMACY,DUBAI,"Showroom  G01, Palace Tower T1 , Opposite Choithram Supermarket , Dubai Silicon Oasis, Dubai UAE",04-5610000,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
MEDICINA PHARMACY BRANCH 17- DUBAI - MEDICINA GRP,PHARMACY,DUBAI,"Silicon Oasis, Nova Tower Dubai",04-3450503,Covered,Covered,Covered,Covered,Covered,Not Covered,Not Covered,
IBN SINA 95 PHARMACY (Bin Sina Group),PHARMACY,DUBAI,"Souq Extra Mall, Silicon Oasis, Dubai",04-5645702,Covered,Covered,Covered,Covered,Not Covered,Covered,Not Covered,
"ZAHRAT AL SHEFA PHARMACY LLC, MUHAISNAH (NOOR AL SHEFA GROUP)",PHARMACY,DUBAI,"MUHAISNAH 2, AL GAITH BUILDING, SONAPUR, DUBAI, UAE.",04-8878155,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
ASTER PHARMACY 98 BRANCH OF ASTER PHARMACY LLC,PHARMACY,DUBAI,"SAMEYA KHALIFA MOHAMED AL FUQAEI BUILDING, SHOP NO.8, 24TH STREET. MUHAISNA 2ND, SONAPUR",04-2521711,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
AL SANAIYA PHARMACY,PHARMACY,DUBAI,"SONAPUR, NEAR BALADIYA CAMP",04-2543500,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
HILLS COMMUNITY PHARMACY,PHARMACY,DUBAI,"SPRINGS 14, NEAR BIG SPINNEYS , OPPSITE THE MOSQUE",04-3617575,Covered,Covered,Covered,Covered,Not Covered,Not Covered,Not Covered,
HORIZON HEALTHCARE PHARMACY,PHARMACY,DUBAI,"AL THURAYA TOWER, TECOM, AL BARSHA",04-4541225,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
ASTER PHARMACY-TECOM,PHARMACY,DUBAI,"SARATOGA RESIDENCE, TECOM",04-4534840,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
YASSAT LIFE PHARMACY LLC-LIFE HEALTHCARE GROUP,PHARMACY,DUBAI,"SHOP 1, YASSAT GLORIA HOTEL , TECOM",04-3792799,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
"YASSAT LIFE PHARMACY, TECOM (LIFE PHARMACIES)",PHARMACY,DUBAI,"SHOP NO. 7 & 8 , GROUND FLOOR , CALIBER PLAZA, DUBAI PRODUCTION CITY  , DUBAI",04-5610000,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
NEW AL MANARA PHARMACY-DUBAI,PHARMACY,DUBAI,TECOM INVESTMENTS FZ LLC,04-3604495,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
TOP CARE PHARMACY ,PHARMACY,DUBAI,"TWO TOWERS, TECOM",04-4206363,Covered,Covered,Covered,Covered,Not Covered,Not Covered,Not Covered,
LIFE PHARMACY 58 BR OF LIFE PHARMACY - LIFE HEALTHCARE GROUP,PHARMACY,DUBAI,"Unit No. 29, Vida The Hills Podium, Al Thanyah Third Dubai.",04-5610000,Covered,Covered,Covered,Covered,Not Covered,Covered,Not Covered,
SUPER CARE PHARMACY 29,PHARMACY,DUBAI,THE VILLA,04-4561672,Covered,Covered,Covered,Covered,Not Covered,Not Covered,Not Covered,
AWEER SOCIETY PHARMACY,PHARMACY,DUBAI,"TRADE CENTER ROAD, AL SHAFAR BLDG.",04-3969999,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
SARA PHARMACY-SHAFAR GROUP,PHARMACY,DUBAI,"TRADE CENTER ROAD, SPINNEYS",04-3593330,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
PHARMACHOICE PHARMACY OWNED BY DR SULAIMAN AL HABIB HOSPITAL FZLLC ONE PERSON  COMPANYLLC,PHARMACY,DUBAI,"BUILDING 57, Umm Hurair Rd, DUBAI HEALTHCARE CITY, DUBAI",04-4297777,Covered,Covered,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,
REAL 3 PHARMACY L.L.C (LIFE HEALTHCARE GROUP),PHARMACY,DUBAI,"HAMARIAH PALACE 2, UMM HURAIR FIRST, DUBAI",04-3410008,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
MARINA PHARMACY SOUTH BR OF MARINA PHARMACY LLC,PHARMACY,DUBAI,"AL BARSHA, SOUTH MY CITY CENTER OM SOUQIEM ROAD. B005",04-3466889,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
SUPER CARE PHARMACY AL THANYA,PHARMACY,DUBAI,"NEAR WAITROSE SUPERMARKET, UMM SUQEIM",04-3388195,Covered,Covered,Covered,Covered,Not Covered,Not Covered,Not Covered,
800 PHARMACY BR-MARINA PHARMACY GROUP,PHARMACY,DUBAI,"OFFICE PARK, UMM SUQUIM",04-3663430,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
SUPER CARE PHARMACY,PHARMACY,DUBAI,"UMM SUQEIM, ASWAAQ",04-3306643,Covered,Covered,Covered,Covered,Not Covered,Not Covered,Not Covered,
SUPER CARE PHARMACY,PHARMACY,DUBAI,"UMM SUQEIM, DUBAI LONDON CLINIC",04-3306144,Covered,Covered,Covered,Covered,Not Covered,Not Covered,Not Covered,
IBN SINA 61 PHARMACY ,PHARMACY,DUBAI,DUBAI UNION COOP AL WASL STEERT ,04-3465104,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
UMM HURAIR PHARMACY (BR OF AL SHAFAR PHARMACIES GROUP LLC),PHARMACY,DUBAI,"J3 MALL, AL WASL ROAD, UMM SUQUEIM 3",04-3383766,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
MEDICINA PHARMACY -BRANCH 10- DUBAI -MEDICINA GRP,PHARMACY,DUBAI,Dubai Science Park - Umm Suqiem,04-428 5505,Covered,Covered,Covered,Covered,Covered,Not Covered,Not Covered,
MEDICINA PHARMACY -BRANCH 10- DUBAI -MEDICINA GRP,PHARMACY,DUBAI,Dubai Science Park - Umm Suqiem,04-428 5505,Covered,Covered,Covered,Covered,Covered,Not Covered,Not Covered,
"PREMIER PHARMACY,JUMEIRAH (LIFE PHARMACIES)",PHARMACY,DUBAI,"SHOP # 2, KINGS COLLEGE HOSPITAL BUILDING, UMM SUQUIM FIRST, JUMEIRAH, DUBAI.",04-3411429,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
AL FAISAL PHARMACY,PHARMACY,DUBAI,"UMM SUQUIEM, CHOITHRAM COMPLEX,",04-3485102,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
ARABELLA PHARMACY,PHARMACY,DUBAI,"UMM SUQUIEM, SPINNEY'S CENTRE",04-3941519,Covered,Covered,Covered,Covered,Not Covered,Not Covered,Not Covered,
PRISTINE PHARMACY L.L.C-LIFE HEALTHCARE GROUP,PHARMACY,DUBAI,"SHOP#9, 10, 11A, 11B @ NILE REGION, WAFI MALL, DUBAI.",04-3852248,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
LIFE PHARMACY 45 BR OF LIFE PHARMACY LLC - WARQAA - LIFE HEALTHCARE GROUP,PHARMACY,DUBAI,"SHOP NO.4 TO 8, RAJA AND SISTER BUILDING,PLOT 421-688 OPPOSITE TO AL KABAYAL,AL WARQA , DUBAI",04-5610000,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
NMC DIC CLINIC AND PHARMACY BR OF NMC ROYAL HOSPITAL LLC - Dubai,PHARMACY,DUBAI,"CHINA CLUSTER  D01, GROUND FLOOR, SHOP NO.11 AND 20, WARSAN 1 , DUBAI",04-8108808,Covered,Covered,Covered,Covered,Covered,Not Covered,Not Covered,
VALIANT HEALTHCARE LLC PHARMACY,PHARMACY,DUBAI,"VALIANT HEALTHCARE BUILDING,AL WASAL, 13th Street, City Walk ,DUBAI",04-3842260,Covered,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,
HIGHWAY PHARMACY,PHARMACY,DUBAI,"ENOC STATION,OPP AL WASL HOSPITAL",04-3375552,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
LIFE PHARMACY DFC BR OF LIFE PHARMACY LLC,PHARMACY,DUBAI,"Unit No. - RC-021, First Floor, Dubai Festival City, Dubai UAE",04-5610000,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
LIFE PHARMACY DUSSELDORF BR OF LIFE PHARMACY LLC,PHARMACY,DUBAI,"Shop No. 4, Dusseldorf Business Point, Al Barsha-1, Dubai – UAE",04-5610000,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
HEALTHHUB PHARMACY8 BR OF ALFUTTAIM HEALTHCARE SINGLE PERSON COMPANY LLC,PHARMACY,DUBAI,"Ground Floor, Abduljalil Mahdi Mohd Alasmavi Bldg, Next to SPAR supermarket",04-5967370,Covered,Covered,Covered,Covered,Not Covered,Not Covered,Not Covered,"""SILK ROAD IS COVERED FOR AFG GROUP POLICY MEMBERS ONLY."""
LIFE PHARMACY DAMASCUS BR OF LIFE PHARMACY LLC,PHARMACY,DUBAI,"Shop No.1, Next to Al Kabayl Center ,Al Qusais 2 Bldng., Damascus Street,  Al Qusais, Dubai -  UAE",04-5610000,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
HEALTHHUB PHARMACY BR OF ALFUTTAIM HEALTHCARE SINGLE PERSON COMPANY LLC,PHARMACY,DUBAI,"Apartment 3-12, Manazel Deira Bldg., Al Qusais 2, Dubai",04-2085940,Covered,Covered,Covered,Covered,Not Covered,Not Covered,Not Covered,"""SILK ROAD IS COVERED FOR AFG GROUP POLICY MEMBERS ONLY."""
"LIFE PHARMACY 55 BR OF
LIFE PHARMACY LLC",PHARMACY,DUBAI,"Unit No: GF 001 & 0015, Plot No: 129-118, Al Wahda Building, Port Saeed, Dubai, UAE",04-4566737,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
LIFE PHARMACY 80. BR OF LIFE PHARMACY,PHARMACY,DUBAI,"Shop 5 , Dolphin Hotel Apartments, Khalid Bin Waleed Road, Dubai, UAE",04-5610000,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
"LIFE AL WARQA 2 BR OF LIFE PHARMACY LLC, DUBAI  (LIFE HEALTHCARE GROUP)",PHARMACY,DUBAI,"SHOP NO. 5, GROUND FLOOR, AL JABRI BUILDING, AL WARQA FIRST, DUBAI – UAE",04-5610000,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
"LIFE PHARMACY BARSHA HEIGHTS BR OF LIFE PHARMACY LLC, DUBAI  (LIFE HEALTHCARE GROUP)",PHARMACY,DUBAI,"SHOP NO :8 , AL SHAIBA TOWER , BARSHA HEIGHTS ( TECOM)  , DUBAI – UAE",04-5610000,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
C C S LIFE PHARMACY BR OF LIFE PHARMACY,PHARMACY,DUBAI,"Unit No. 2, Ground Floor, Shindagha City Centre, Bur Dubai, Dubai",04-5610000,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
LIFE PHARMACY DWTC BR OF LIFE PHARMACY LLC,PHARMACY,DUBAI,"Shop No: R021.02, Concourse 1, Dubai World Trade Centre, Dubai - UAE",04-5610000,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
JBR LIFE PHARMACY 2 BR OF LIFE PHARMACY LLC,PHARMACY,DUBAI,"SHOP NO 2406, GROUND FLOOR, THE BEACH – JBR , DUBAI UAE  ",04-5610000,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
LIFE PHARMACY JVT 2 BR OF LIFE PHARMACY LLC - LIFE HEALTHCARE GROUP,PHARMACY,DUBAI,"SHOP NO. R01, NEXT TO TRIANGLE SUPERMARKET, GREEN PARK BUILDING, JVT, DUBAI -  UAE",04-5610000,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
LIFE PHARMACY MARINA WALK BR OF LIFE PHARMACY LLC,PHARMACY,DUBAI,"Unit No. GA2, Ground Floor, Dubai Marina Towers Retail, Marina Walk, Dubai - UAE    ",04-5610000,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
TOWN SQUARE LIFE PHARMACY BR OF LIFE PHARMACY LLC,PHARMACY,DUBAI,"Unit No. 4, Ground Floor, Town Square Development Zahra Apartments, Dubai – UAE",04-5610000,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
S Z R LIFE PHARMACY BR OF LIFE PHARMACY LLC,PHARMACY,DUBAI,"Showroom No. 2, Al Kawakeb (D Block), Sheikh Zayed Road, Dubai – UAE",04-5610000,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
LULU DIBBA PHARMACY LLC DOCIB,PHARMACY,FUJAIRAH,LULU HYPERMARKET,09-2431399,Covered,Covered,Covered,Covered,Covered,Not Covered,Not Covered,
MEDICINA PHARMACY - FUJAIRAH,PHARMACY,FUJAIRAH,SAFEER CENTRE,09-2441604,Covered,Covered,Covered,Covered,Covered,Not Covered,Not Covered,
HEALTH FIRST PHARMACY- 21-PLANET PHARMACY,PHARMACY,FUJAIRAH,"AL MADHAB STREET, NEAR KM TRADING , DANA CINEMA PLAZA",09-2234518,Covered,Covered,Covered,Covered,Covered,Not Covered,Not Covered,
THUMBAY PHARMACY 12 FUJAIRAH,PHARMACY,FUJAIRAH,"AL MANAMA HYPERMARKET BUILDING, NEAR LANTHERN ROUND ABOUT,DIBBA, FUJAIRAH",09-2446113,Covered,Covered,Covered,Covered,Not Covered,Not Covered,Not Covered,
AL SHARQ PHARMACY,PHARMACY,FUJAIRAH,"AL SHARQI ROAD, DIBBA",09-2059568,Covered,Covered,Covered,Covered,Covered,Not Covered,Not Covered,
AL SHARQ FAMILY PHARMACY,PHARMACY,FUJAIRAH,AL SHARQI STREET,09-2227490,Covered,Covered,Covered,Covered,Covered,Not Covered,Not Covered,
HEALTH FIRST PHARMACY 17,PHARMACY,FUJAIRAH,"AL SHURAIA,OPP.CENTURY MALL, PALACE STREET",09-2230340,Covered,Covered,Covered,Covered,Covered,Not Covered,Not Covered,
AL MANARA PHARMACY (FUJAIRAH)-MANARA GROUP,PHARMACY,FUJAIRAH,CENTURY MALL,09-2234792,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
ASTER PHARMACY 8 BR OF ASTER PHARMACIES GRP LLC-FUJAIRAH,PHARMACY,FUJAIRAH,"CENTURY MALL, FASEEL ROAD",09-2230701,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
LIFE PHARMACY LLC FUJAIRAH BR 1 - LIFE HEALTHCARE GROUP,PHARMACY,FUJAIRAH,"SHOP NO#G1, G2 & G3, HILAL BUILDING, FUJAIRAH, UAE",04-5610000,Covered,Covered,Covered,Covered,Not Covered,Covered,Not Covered,
HEALTH FIRST PHARMACY 19-PLANET PHARMACY,PHARMACY,FUJAIRAH,"DIBBA MARKET, NEAR TO UAE EXCHANGE",09-2444376,Covered,Covered,Covered,Covered,Covered,Not Covered,Not Covered,
FUJAIRAH PORT PHARMACY-AL SHARQ GROUP,PHARMACY,FUJAIRAH,"FUJAIRAH PORT MEDICAL CENTRE BLDG, FUJAIRAH SEA PORT, FUJAIRAH, U.A.E.",09-2228007,Covered,Covered,Covered,Covered,Covered,Not Covered,Not Covered,
HEALTH FIRST PHARMACY 10 FUJAIRAH BRANCH-PLANET GROUP,PHARMACY,FUJAIRAH,"GROUND FLOOR, FUJAIRAH MALL, OPPOSITE TO NBAD BANK, SHEIKH KHALIFA BIN ZAYED ROAD, FUJAIRAH",09-2229295,Covered,Covered,Covered,Covered,Covered,Not Covered,Not Covered,
NATIONAL MEDICAL CENTRE PHARMACY,PHARMACY,FUJAIRAH,GURFA,09-2232850,Covered,Covered,Covered,Covered,Not Covered,Not Covered,Not Covered,
BETTER LIFE PHARMACY-FUJAIRAH,PHARMACY,FUJAIRAH,"HALA BUILDING, MERASHID STREET, HAMAD BIN ABDULLA ROAD",09-2227299,Covered,Covered,Covered,Covered,Covered,Not Covered,Not Covered,
ZAYTOON PHARMACY,PHARMACY,FUJAIRAH,"HAMAD BIN ABDULLA  STREET, OPP. FISH MARKET,SHOP NO. 12",09-2235445,Covered,Covered,Covered,Covered,Not Covered,Not Covered,Not Covered,
ASTER PHARMACY - FUJAIRAH,PHARMACY,FUJAIRAH,"HAMAD BIN ABDULLA STREET, EMIRATES SPRING BUILDING, ",09-2238322,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
HEALTH FIRST PHARMACY  18-PLANET PHARMACY,PHARMACY,FUJAIRAH,HAMAD BIN ABDULLAH STREET,09-2231540,Covered,Covered,Covered,Covered,Covered,Not Covered,Not Covered,
MOZOON PHARMACY,PHARMACY,FUJAIRAH,HAMAD BIN ABDULLAH STREET,09-2244699,Covered,Covered,Covered,Covered,Not Covered,Not Covered,Not Covered,
TAYBA PHARMACY,PHARMACY,FUJAIRAH,MASAFI,09-2564749,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
WE CARE PHARMACY - FUJAIRAH,PHARMACY,FUJAIRAH,"MERASHID , SHEIKH ZAYED STREET , FUJAIRAH ",09-2229941,Covered,Covered,Covered,Covered,Not Covered,Not Covered,Not Covered,
HEALTH FIRST PHARMACY  20-PLANET PHARMACY,PHARMACY,FUJAIRAH,"MUHALLAH, MUHALLAH",09-2447364,Covered,Covered,Covered,Covered,Covered,Not Covered,Not Covered,
EAST COAST AHALIA PHARMACY-FUJAIRAH-AHALIA GROUP,PHARMACY,FUJAIRAH,NEAR ADNOC PETROL STATION AND FAB BANK,09-2235744,Covered,Covered,Covered,Covered,Covered,Not Covered,Not Covered,
"THUMBAY PHARMACY 17 , FUJAIRAH",PHARMACY,FUJAIRAH,"OLD ARAB BANK BUILDING, SHEIKH ZAYED BIN SULTAN RD , OPP.FATIMA SHOPPING CENTRE, FUJAIRAH",09-2221253,Covered,Covered,Covered,Covered,Not Covered,Not Covered,Not Covered,
HIKMA PHARMACY,PHARMACY,FUJAIRAH,PORT ROAD,09-2231442,Covered,Covered,Covered,Covered,Covered,Not Covered,Not Covered,
IBN SINA PHARMACY,PHARMACY,FUJAIRAH,"SHAIKH ZAYED ROAD, ARAB BANK BUILDING",09-2239946,Covered,Covered,Covered,Covered,Not Covered,Not Covered,Not Covered,
